model,gph,source,date
BEECH 200 Super King Air,108,https://www.libertyjet.com/private_jets/BE-B200,2024-03-07
BEECHCRAFT Super King Air 350,122,https://www.libertyjet.com/private_jets/King%20Air%20350,2024-03-07
BEECH 400 Beechjet,222,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Beech-Beechjet-400A-13,2024-02-02
BEECH 400XT Beechjet,150,https://jetadvisors.com/jet/nextant-400xti,2024-01-29
BOMBARDIER BD-100 Challenger 300,295,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-300-6,2024-02-02
BOMBARDIER BD-100 Challenger 350,297,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-350-185,2024-02-02
BOMBARDIER BD-700 Global 5000/5500,506,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Global-5000-49,2024-02-02
BOMBARDIER BD-700 Global 5000/5500,472,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Global-5500-206,2024-02-02
BOMBARDIER CL-600 Challenger,365,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-601-1A-166,2024-02-02
BOMBARDIER CL-600 Challenger,265,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-601-3A-44,2024-02-02
BOMBARDIER CL-600 Challenger,365,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-601-3R-45,2024-02-02
BOMBARDIER CL-600 Challenger,358,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-604-46,2024-02-02
BOMBARDIER CL-600 Challenger,329,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-605-47,2024-02-02
BOMBARDIER CL-600 Challenger,329,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-CL-650-193,2024-02-02
BOMBARDIER BD-700 Global 6000/6500,512,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Global-6000-52,2024-02-02
BOMBARDIER BD-700 Global 6000/6500,509,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Global-6500-204,2024-02-02
BOMBARDIER BD-700 Global 7000/7500,528,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Global-7500-203,2024-02-02
CESSNA 525 Citation M2,134,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-Citation-M2-182,2024-02-02
CESSNA 680 Citation Sovereign,281,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-Sovereign-82,2024-02-02
CESSNA 680 Citation Sovereign,274,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-Sovereign+-188,2024-02-02
CESSNA 560XL Citation XLS,239,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-XLS-87,2024-02-02
CESSNA 560XL Citation XLS,201,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-XLS+-88,2024-02-02
CESSNA 525A Citation CJ2,141,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-CJ2-74,2024-02-02
CESSNA 525A Citation CJ2,159,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-CJ2+-75,2024-02-02
CESSNA 525B Citation CJ3,149,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-CJ3-76,2024-02-02
CESSNA 525B Citation CJ3,148,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-CJ3+-186,2024-02-02
CESSNA 525C Citation CJ4,209,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-CJ4-77,2024-02-02
CESSNA 680 Citation Latitude,264,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-Latitude-192,2024-02-02
CESSNA 510 Citation Mustang,90,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Cessna/Textron-Mustang-81,2024-02-02
