icao	name	source	date
CL30	Bombardier Challenger 300	https://businessaircraft.bombardier.com/en/aircraft	2023-10-03
CL35	Bombardier Challenger 350	https://businessaircraft.bombardier.com/en/aircraft	2023-10-03
CL35	Bombardier Challenger 3500	https://businessaircraft.bombardier.com/en/aircraft	2023-10-03
CL60	Bombardier Challenger 650	https://businessaircraft.bombardier.com/en/aircraft	2023-10-03
CRJ2	Bombardier Challenger 850	https://jetadvisors.com/jet/challenger-850	2024-01-29
CRJ7	Bombardier Challenger 870	https://jetadvisors.com/jet/challenger-870	2024-01-29
GL5T	Bombardier Global 5500	https://businessaircraft.bombardier.com/en/aircraft/global-5500	2023-10-03
GLEX	Bombardier Global 6000	https://businessaircraft.bombardier.com/en/aircraft	2023-10-03
GLEX	Bombardier Global 6500	https://businessaircraft.bombardier.com/en/aircraft/global-6500	2023-10-03
GL7T	Bombardier Global 7500	https://businessaircraft.bombardier.com/en/aircraft	2023-10-03
C25A	Cessna Citation CJ2	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C25B	Cessna Citation CJ3	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C25C	Cessna Citation CJ4	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C68A	Cessna Citation Latitude	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C700	Cessna Citation Longitude	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C25M	Cessna Citation M2	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C510	Cessna Citation Mustang	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C680	Cessna Citation Sovereign	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C650	Cessna Citation III	https://en.wikipedia.org/wiki/Cessna_Citation_III	2024-01-27
C56X	Cessna Citation X	https://txtav.com/en/products?brands=beechcraft&brands=cessna&category=jets	2023-10-03
C550	Cessna Citation 2	https://en.wikipedia.org/wiki/Cessna_Citation_II	2023-10-04
FA10	Dassault Falcon 10	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
FA20	Dassault Falcon 200	https://jetadvisors.com/jet/falcon-200/	2024-01-29
FA50	Dassault Falcon 50	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
F2TH	Dassault Falcon 2000	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
FA6X	Dassault Falcon 6X	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
FA7X	Dassault Falcon 7X	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
FA8X	Dassault Falcon 8X	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
F900	Dassault Falcon 900	https://www.dassaultfalcon.com/aircraft/overview-of-the-fleet/	2023-10-03
EA40	Eclipse 400	https://en.wikipedia.org/wiki/Eclipse_400	2023-10-03
EA50	Eclipse 500	https://en.wikipedia.org/wiki/Eclipse_500	2023-10-03
E50P	Embraer Phenom 100	https://executive.embraer.com/global/en/phenom-100ev	2023-10-03
E55P	Embraer Phenom 300	https://executive.embraer.com/global/en/phenom-300e	2023-10-03
G150	Gulfstream G150	https://www.gulfstream.com/	2023-10-03
GALX	Gulfstream G200	https://www.gulfstream.com/	2023-10-03
G280	Gulfstream G280	https://www.gulfstream.com/	2023-10-03
GLF4	Gulfstream G350	https://www.gulfstream.com/	2023-10-03
GA4C	Gulfstream G400	https://www.gulfstream.com/	2023-10-03
GLF4	Gulfstream G400	https://www.gulfstream.com/	2023-10-03
GA5C	Gulfstream G500	https://www.gulfstream.com/	2023-10-03
GLF5	Gulfstream G500	https://www.gulfstream.com/	2023-10-03
GA6C	Gulfstream G600	https://www.gulfstream.com/	2023-10-03
GLF6	Gulfstream G650	https://www.gulfstream.com/	2023-10-03
GA7C	Gulfstream G700	https://www.gulfstream.com/	2023-10-03
GA8C	Gulfstream G800	https://www.gulfstream.com/	2023-10-03
BE40	Hawker 400 XP	https://en.wikipedia.org/wiki/Hawker_400	2023-10-03
HA4T	Hawker 4000	https://en.wikipedia.org/wiki/Hawker_4000	2023-10-03
BE40W	Hawker 400XPR	https://en.wikipedia.org/wiki/Hawker_4000	2023-10-03
H25A	Hawker 125-700A	https://jetadvisors.com/jet/hawker-125-700a	2024-01-29
H25B	Hawker 900	https://www.privaira.com/fleet/hawker-900xp/	2023-10-03
H25C	Hawker 1000A	https://jetadvisors.com/jet/hawker-1000a/	2024-01-29
HDJT	HondaJet HA-420	https://en.wikipedia.org/wiki/Honda_HA-420_HondaJet	2023-10-03
LJ24	Learjet 24	https://en.wikipedia.org/wiki/Learjet_24	2023-10-03
LJ25	Learjet 25	https://en.wikipedia.org/wiki/Learjet_25	2023-10-03
LJ28	Learjet 28	https://en.wikipedia.org/wiki/Learjet_28	2023-10-03
LJ31	Learjet 31	https://en.wikipedia.org/wiki/Learjet_31	2023-10-03
LJ35	Learjet 35	https://en.wikipedia.org/wiki/Learjet_35	2023-10-03
LJ40	Learjet 40	https://en.wikipedia.org/wiki/Learjet_40	2023-10-03
LJ45	Learjet 45	https://en.wikipedia.org/wiki/Learjet_45	2023-10-03
LJ55	Learjet 55	https://en.wikipedia.org/wiki/Learjet_55	2023-10-03
LJ60	Learjet 60	https://en.wikipedia.org/wiki/Learjet_60	2023-10-03
LJ70	Learjet 70	https://en.wikipedia.org/wiki/Learjet_70	2023-10-03
